permno,permco_pre,ticker_pre,issuernm_pre,size_segment_pre,bankruptcy_date,dlstcd,dlret,last_index_qdate_pre_or_at,last_index_id_pre,same_permno_reentered,first_reentry_date_permno,reentry_index_ids_permno,same_permco_reentered,first_reentry_date_permco,reentry_permnos_permco,reentry_index_ids_permco,reentered_index_after_bankruptcy,temporary_any_y1,temporary_y1_before_or_at_bankruptcy_year,temporary_first_y1_year,temporary_y1_years,temporary_any_confirmed_or_terminal_event,temporary_any_terminal_failure_event,temporary_terminal_failure_codes,permanent_any_y1,permanent_first_y1_year,permanent_y1_years,csi_classification_summary
79009,11995,SIII,S3 INC,micro,2003-04-01,574,-0.464286,2003-03-31,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2000,2000;2001,TRUE,TRUE,574,TRUE,2001,2001,classified_as_csi_in_available_labels_or_events
87452,17390,KOREA,KOREA THRUNET CO LTD,micro,2003-04-04,574,-0.995833,2003-03-31,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,1999,1999;2001,TRUE,TRUE,574,TRUE,1999,1999;2001,classified_as_csi_in_available_labels_or_events
65964,3796,RCOT,RECOTON CORP,micro,2003-04-17,574,-0.958333,2003-03-31,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2001,2001,TRUE,TRUE,574,TRUE,2001,2001,classified_as_csi_in_available_labels_or_events
79152,12127,ASPX,AUSPEX SYSTEMS INC,micro,2003-05-01,574,0.166667,2003-03-31,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2000,2000;2002,TRUE,TRUE,574,TRUE,2000,2000,classified_as_csi_in_available_labels_or_events
87582,36765,PRB,PROBEX CORP,micro,2003-05-13,574,-0.928571,2003-03-31,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2000,2000;2001,TRUE,TRUE,574,TRUE,2001,2001,classified_as_csi_in_available_labels_or_events
80413,30379,AZC,A Z C O MINING INC,micro,2003-05-23,574,0,2003-03-31,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2000,2000;2001,TRUE,TRUE,574,TRUE,2001,2001,classified_as_csi_in_available_labels_or_events
86238,16190,ALGX,ALLEGIANCE TELECOM INC,micro,2003-05-23,574,-0.683594,2003-03-31,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2000,2000;2002,TRUE,TRUE,574,TRUE,2000,2000,classified_as_csi_in_available_labels_or_events
88492,38394,SSM,SYMPOSIUM CORP,micro,2003-05-23,574,-0.5,2003-03-31,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2001,2001,TRUE,FALSE,"",TRUE,2001,2001,classified_as_csi_in_available_labels_or_events
75310,21374,PNF,PENN TRAFFIC CO NEW,micro,2003-05-29,574,-0.915254,2003-03-31,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,1997,1997;2000;2001,TRUE,TRUE,574,TRUE,1997,1997;2001,classified_as_csi_in_available_labels_or_events
79124,11961,SHEF,SHEFFIELD MEDICAL TECHS INC,micro,2003-06-02,574,-0.83871,2003-03-31,total_market,FALSE,,,FALSE,,,,FALSE,TRUE,TRUE,2001,2001,TRUE,TRUE,574,TRUE,2001,2001,classified_as_csi_in_available_labels_or_events
