track,track_label,feature_set,model_key,threshold_method,threshold_label,threshold,threshold_boundary_tolerance,split_source,cohort,n,score_min,score_p01,score_p05,score_p25,score_median,score_mean,score_p75,score_p95,score_p99,score_max
dynamic_csi,Temporary CSI,raw,raw,fpr5,CV FPR <= 5%,0.186501175165176,1e-12,cv,TP,1065,0.1865011751651764,0.18723111748695373,0.19040701389312745,0.21032170951366425,0.23584766685962677,0.24482569578387928,0.2684217691421509,0.3297771394252777,0.37082681655883765,0.41361868381500244
dynamic_csi,Temporary CSI,raw,raw,fpr5,CV FPR <= 5%,0.186501175165176,1e-12,cv,FN,2054,0.0007608201121911407,0.0029664630116894844,0.01337785990908742,0.05697493441402912,0.09854795411229134,0.09763297865526821,0.14133428409695625,0.17731987088918685,0.18448284178972243,0.18636518716812134
dynamic_csi,Temporary CSI,raw,raw,fpr5,CV FPR <= 5%,0.186501175165176,1e-12,cv,TN,65658,7.678569090785459e-05,0.00010593425860861317,0.0004017596613266505,0.0027347137802280486,0.01141150388866663,0.03210945621818204,0.0438695577904582,0.13750631362199775,0.1753895263373852,0.18650053441524506
dynamic_csi,Temporary CSI,raw,raw,youden,CV Youden J,0.0501871220767498,1e-12,cv,FP,18265,0.05018723011016846,0.05101703524589538,0.054505740851163866,0.07413021475076675,0.11034028232097626,0.12766772997977308,0.16818936169147491,0.25559085011482235,0.30825655937194846,0.4529777467250824
dynamic_csi,Temporary CSI,raw,raw,youden,CV Youden J,0.0501871220767498,1e-12,cv,TP,2682,0.0501871220767498,0.05220390759408474,0.061290086992084984,0.10346674360334873,0.16297686845064163,0.16784008828357785,0.221983440220356,0.30231951773166654,0.347507652938366,0.41361868381500244
dynamic_csi,Temporary CSI,raw,raw,youden,CV Youden J,0.0501871220767498,1e-12,cv,FN,437,0.0007608201121911407,0.0015510920574888587,0.00301386252976954,0.01447594165802002,0.02562199905514717,0.025469994030198086,0.03737814351916313,0.04775804951786995,0.04945244133472442,0.050034649670124054
dynamic_csi,Temporary CSI,raw,raw,youden,CV Youden J,0.0501871220767498,1e-12,cv,TN,50839,7.678569090785459e-05,0.00010010641999542713,0.0003431555785937235,0.0018744246917776763,0.0061561730690300465,0.011571890446620627,0.017528381198644638,0.040379584208130835,0.04799448609352112,0.050182487815618515
permanent_csi,Permanent CSI,raw_plus_latent,raw_plus_latent,fpr3,CV FPR <= 3%,0.1808942258358,1e-12,cv,FP,2092,0.1809532195329666,0.181580623537302,0.18372730612754823,0.19511160254478455,0.21397730708122253,0.22582109702704742,0.24360890313982964,0.3115532040596008,0.3726486080884938,0.4706915616989136
permanent_csi,Permanent CSI,raw_plus_latent,raw_plus_latent,fpr3,CV FPR <= 3%,0.1808942258358,1e-12,cv,TP,634,0.18089422583580017,0.1816592788696289,0.18470509201288224,0.20282847434282303,0.2275594025850296,0.2378376531958204,0.261342890560627,0.3257425010204315,0.4063789942860602,0.47485992312431335
permanent_csi,Permanent CSI,raw_plus_latent,raw_plus_latent,fpr3,CV FPR <= 3%,0.1808942258358,1e-12,cv,FN,1825,0.0005296362796798348,0.0022195625863969328,0.012739070504903794,0.05150638893246651,0.08846858888864517,0.09120709787263241,0.13262642920017242,0.1713831603527069,0.1793048870563507,0.1807660311460495
permanent_csi,Permanent CSI,raw_plus_latent,raw_plus_latent,fpr3,CV FPR <= 3%,0.1808942258358,1e-12,cv,TN,67672,0.00037407706258818507,0.0004869274186785333,0.0007711566926445812,0.003410007106140256,0.009483602363616228,0.027606554459483033,0.03480647597461939,0.12095487043261524,0.1662329247593878,0.18087667226791382
permanent_csi,Permanent CSI,raw_plus_latent,raw_plus_latent,fpr1,CV FPR <= 1%,0.232100933790207,1e-12,cv,FP,696,0.23227690160274506,0.2325511395931244,0.23424452543258667,0.24371404573321342,0.2581714391708374,0.27240907182467394,0.2881588637828827,0.3550103083252907,0.43532942831516264,0.4706915616989136
